day	hour	content
30th January 2026	10:00–10:30	Registration
30th January 2026	10:30–11:00	Welcome by the Department Head, Prof. Rosario Rizzuto
30th January 2026	11:00–11:30	Lecture by Prof. Chinfei Chen, "From calcium channels to brain plasticity:  my adventures with Daniela"
30th January 2026	11:30-12:00	Lecture by dr. Massimo Mantegazza, "Sodium Channels in Genetic Neurological Disorders: Spotlight on SCN1A/NaV1.1"
30th January 2026	12:00-12:30	Lecture by dr. Tommaso Fellin, "Cellular and circuital mechanisms underlying sensory perception and spatial navigation"
30th January 2026	12:30-14:00	Lunch break (reserved to invited participants)
30th January 2026	14:00-14:30	Lecture by  Prof. Joerg Striessnig, "Calcium Channelopathies: from Migraine to Autism"
30th January 2026	14:30-15:00	Lecture by  Prof. Tommaso Pizzorusso, "Perineuronal nets: a brain wide perspective"
30th January 2026	15:00-15:30	Lecture by  Prof. Fiorenzo Conti, "GLT-1 multifaceted modulation of E/I balance"
30th January 2026	15:30-16:00	Coffee break (reserved to invited participants)
30th January 2026	16:00-16:30	Lecture by Prof. Fabio Benfenati, "Homeostatic chemo-optogenetics and gene-free photostimulation of neurons: towards a light-powered brain"
30th January 2026	16:30-17:00	Lecture by  Prof. K.C. Brennan, "Unraveling the mechanisms of migraine with aura (with Daniela!)"
30th January 2026	17:00-18:00	Concluding Lecture by Prof. Daniela Pietrobon
